child_id,name,min,s,time,zem,cat,brush,tima,gimo,ball,manu,car,utterance
XS_0807,manu,3,31,211,NA,NA,NA,NA,NA,NA,NA,NA,or the manu?
XS_0807,manu,3,35.3,215.3,NA,NA,NA,NA,NA,NA,NA,NA,the manu?
XS_0807,car,3,45.7,225.7,NA,NA,NA,NA,NA,NA,NA,NA,how about car?
XS_0807,car,3,49.8,229.8,NA,NA,NA,NA,NA,NA,NA,NA,it's a racecar.
XS_0807,car,3,54.9,234.9,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0807,manu,4,18.6,258.6,NA,NA,NA,NA,NA,NA,NA,NA,you like the manu?
XS_0807,manu,4,21.6,261.6,NA,NA,NA,NA,NA,NA,NA,NA,manu.
XS_0807,car,4,40.7,280.7,NA,NA,NA,NA,NA,NA,NA,NA,you want the car?
XS_0807,car,4,42.4,282.4,NA,NA,NA,NA,NA,NA,NA,NA,you want the car?
XS_0807,manu,4,49.1,289.1,NA,NA,NA,NA,NA,NA,NA,NA,are you bored of the manu and the car?
XS_0807,car,4,49.9,289.9,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,brush,4,59.9,299.9,NA,NA,NA,NA,NA,NA,NA,NA,we have a brush.
XS_0807,brush,5,1.4,301.4,NA,NA,NA,NA,NA,NA,NA,NA,brush.
XS_0807,brush,5,4.4,304.4,NA,NA,NA,NA,NA,NA,NA,NA,brush.
XS_0807,tima,5,5.6,305.6,NA,NA,NA,NA,NA,NA,NA,NA,and a tima.
XS_0807,tima,5,6.8,306.8,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0807,tima,5,10,310,NA,NA,NA,NA,NA,NA,NA,NA,you like the tima?
XS_0807,tima,5,18.8,318.8,NA,NA,NA,NA,NA,NA,NA,NA,that's a tima.
XS_0807,brush,5,38,338,NA,NA,NA,NA,NA,NA,NA,NA,how about the brush?
XS_0807,brush,5,39.3,339.3,NA,NA,NA,NA,NA,NA,NA,NA,you like the brush?
XS_0807,tima,5,57.6,357.6,NA,NA,NA,1,NA,NA,NA,NA,tima.
XS_0807,tima,5,58.9,358.9,NA,NA,NA,NA,NA,NA,NA,NA,it's a tima.
XS_0807,brush,6,8.8,368.8,NA,NA,NA,NA,NA,NA,NA,NA,this is a brush.
XS_0807,brush,6,11.3,371.3,NA,NA,NA,NA,NA,NA,NA,NA,brush probably isn't as nice to chew on is it?
XS_0807,brush,6,21.9,381.9,NA,NA,NA,NA,NA,NA,NA,NA,you want to feel the brush?
XS_0807,brush,6,34.8,394.8,NA,NA,NA,NA,NA,NA,NA,NA,here's the brush.
XS_0807,brush,6,44.8,404.8,NA,NA,NA,NA,NA,NA,NA,NA,it's called a brush.
XS_0807,tima,6,56.1,416.1,NA,NA,NA,NA,NA,NA,NA,NA,and this is a tima.
XS_0807,tima,6,57.4,417.4,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0807,tima,7,4.7,424.7,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0807,brush,7,14.2,434.2,NA,NA,NA,NA,NA,NA,NA,NA,you like the brush?
XS_0807,tima,7,20.9,440.9,NA,NA,NA,NA,NA,NA,NA,NA,you want the tima back? 
XS_0807,tima,7,21.9,441.9,NA,NA,NA,NA,NA,NA,NA,NA,you want the tima?
XS_0807,brush,7,23.4,443.4,NA,NA,NA,NA,NA,NA,NA,NA,or the brush?
XS_0807,brush,7,26,446,NA,NA,NA,NA,NA,NA,NA,NA,the brush.
XS_0807,tima,7,52.7,472.7,NA,NA,NA,NA,NA,NA,NA,NA,how about the tima?
XS_0807,tima,7,53.3,473.3,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0807,tima,8,24.1,504.1,NA,NA,NA,1,NA,NA,NA,NA,you see the tima?
XS_0807,brush,8,25.7,505.7,NA,NA,NA,1,NA,NA,NA,NA,and you're chewing on the brush there.
XS_0807,tima,8,34.4,514.4,NA,NA,NA,NA,NA,NA,NA,NA,you want the tima?
XS_0807,brush,8,38.4,518.4,NA,NA,NA,NA,NA,NA,NA,NA,no you seem happier with your brush huh?
XS_0807,tima,8,53,533,NA,NA,NA,NA,NA,NA,NA,NA,tima.
XS_0807,car,9,3,543,NA,NA,NA,NA,NA,NA,NA,NA,should we go back to the car and the zem?
XS_0807,zem,9,3.3,543.3,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,car,9,5.2,545.2,NA,NA,NA,NA,NA,NA,NA,NA,do you want the car and zem?
XS_0807,zem,9,5.5,545.5,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,brush,9,7,547,NA,NA,NA,NA,NA,NA,NA,NA,no you like the brush?
XS_0807,brush,9,8.6,548.6,NA,NA,NA,NA,NA,NA,NA,NA,you like the brush yeah?
XS_0807,tima,9,10.6,550.6,NA,NA,NA,NA,NA,NA,NA,NA,how about the tima?
XS_0807,tima,9,12,552,NA,NA,NA,NA,NA,NA,NA,NA,you like the tima?
XS_0807,brush,9,26.5,566.5,NA,NA,NA,NA,NA,NA,NA,NA,oh there's the brush.
XS_0807,tima,9,36.2,576.2,NA,NA,NA,NA,NA,NA,NA,NA,you want the tima?
XS_0807,brush,9,51.3,591.3,NA,NA,NA,NA,NA,NA,NA,NA,or you want the brush back?
XS_0807,tima,10,50.2,650.2,NA,NA,NA,NA,NA,NA,NA,NA,let's put the tima and the zem or the brush away.
XS_0807,zem,10,50.6,650.6,NA,NA,1,NA,NA,NA,NA,NA,
XS_0807,brush,10,51.5,651.5,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,ball,10,53.7,653.7,1,NA,NA,NA,NA,1,NA,NA,you want to try the ball and the zem again?
XS_0807,zem,10,54,654,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,ball,10,55.4,655.4,NA,NA,NA,NA,NA,NA,NA,NA,ball?
XS_0807,ball,11,3.7,663.7,NA,NA,NA,NA,NA,NA,NA,NA,oh the ball yeah.
XS_0807,zem,11,20,680,NA,NA,NA,NA,NA,NA,NA,NA,you want the zem?
XS_0807,zem,11,23,683,NA,NA,NA,NA,NA,NA,NA,NA,yeah zem's not as good for teething on is it?
XS_0807,ball,11,42,702,NA,NA,NA,NA,NA,NA,NA,NA,how about that ball?
XS_0807,ball,12,7,727,NA,NA,NA,NA,NA,NA,NA,NA,where's the ball?
XS_0807,ball,12,10,730,NA,NA,NA,NA,NA,1,NA,NA,here's the ball.
XS_0807,zem,12,19.6,739.6,NA,NA,NA,NA,NA,NA,NA,NA,you want the zem?
XS_0807,ball,12,25,745,NA,NA,NA,NA,NA,NA,NA,NA,you want the ball don't you?
XS_0807,ball,12,28,748,NA,NA,NA,NA,NA,NA,NA,NA,oh there's the ball.
XS_0807,zem,12,48.2,768.2,NA,NA,NA,NA,NA,NA,NA,NA,you're not a big fan the zem.
XS_0807,zem,12,53.1,773.1,1,NA,NA,NA,NA,NA,NA,NA,you want the zem?
XS_0807,ball,12,57.2,777.2,NA,NA,NA,NA,NA,NA,NA,NA,you want the ball don't you?
XS_0807,car,13,3.9,783.9,NA,NA,NA,NA,NA,NA,NA,NA,how about the how about the car and the manu?
XS_0807,manu,13,4.3,784.3,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0807,car,13,9.5,789.5,NA,NA,NA,NA,NA,NA,NA,NA,you want the car or the manu?
XS_0807,manu,13,10.3,790.3,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0811,car,0,41.8,41.8,NA,NA,NA,NA,NA,NA,NA,NA,it's a car.
XS_0811,car,0,43.4,43.4,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0811,car,0,47.1,47.1,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0811,car,0,58.7,58.7,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0811,car,1,1,61,NA,NA,NA,NA,NA,NA,NA,NA,do you want the car?
XS_0811,car,1,4.7,64.7,NA,NA,NA,NA,NA,NA,NA,NA,wow that's a loud car.
XS_0811,car,1,11.1,71.1,NA,NA,NA,NA,NA,NA,NA,NA,squeaky car.
XS_0811,car,1,13.7,73.7,NA,NA,NA,NA,NA,NA,NA,NA,is the car gonna drive up you?
XS_0811,car,1,21.7,81.7,NA,NA,NA,NA,NA,NA,NA,1,see the car driving on mommy.
XS_0811,car,1,25.4,85.4,NA,NA,NA,NA,NA,NA,NA,NA,the car drives on [xxx].
XS_0811,car,1,35.3,95.3,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0811,car,1,38,98,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0811,car,1,41.5,101.5,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0811,car,2,44,164,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0811,car,3,6.6,186.6,NA,NA,NA,NA,NA,NA,NA,NA,car?
XS_0811,car,4,14.6,254.6,NA,NA,NA,NA,NA,NA,NA,1,car.
XS_0811,car,4,17.1,257.1,NA,NA,NA,NA,NA,NA,NA,1,wanna drive the car again?
XS_0811,ball,5,5.5,305.5,NA,NA,NA,NA,NA,NA,NA,NA,oh ball.
XS_0811,ball,5,7.2,307.2,1,NA,NA,NA,NA,NA,NA,NA,wanna play ball?
XS_0811,ball,6,2.2,362.2,NA,NA,NA,NA,NA,NA,NA,NA,how about we put the ball inside here?
XS_0811,ball,6,5.7,365.7,NA,NA,NA,NA,NA,1,NA,NA,should we put the ball on top?
XS_0811,ball,6,43.5,403.5,NA,NA,NA,NA,NA,1,NA,NA,the ball?
XS_0811,ball,8,45.5,525.5,NA,NA,NA,NA,NA,1,NA,NA,ball.
XS_0811,ball,9,18.5,558.5,NA,NA,NA,NA,NA,NA,NA,NA,the ball?
XS_0811,ball,9,29.4,569.4,NA,NA,NA,NA,NA,1,NA,NA,you wanna play with the ball?
XS_0814,zem,0,19,19,1,NA,NA,NA,NA,NA,NA,NA,we've got a zem.
XS_0814,ball,0,28,28,NA,NA,NA,NA,NA,1,NA,NA,you want the ball?
XS_0814,ball,0,44,44,1,NA,NA,NA,NA,NA,NA,NA,there's the purple ball.
XS_0814,zem,0,45,45,1,NA,NA,NA,NA,NA,NA,NA,or the yellow zem?
XS_0814,ball,0,47,47,NA,NA,NA,NA,NA,NA,NA,NA,the ball.
XS_0814,ball,0,49,49,NA,NA,NA,NA,NA,NA,NA,NA,you wanna play with the ball.
XS_0814,zem,0,55,55,NA,NA,NA,NA,NA,NA,NA,NA,I bet this zem feels really good in your mouth.
XS_0814,ball,1,7,67,NA,NA,NA,NA,NA,1,NA,NA,you figured out how to grab the ball but not the zem?
XS_0814,zem,1,8,68,NA,NA,NA,NA,NA,1,NA,NA,
XS_0814,ball,1,35,95,NA,NA,NA,NA,NA,NA,NA,NA,I'm gonna roll the ball to you.
XS_0814,zem,1,43,103,1,NA,NA,NA,NA,NA,NA,NA,how about the zem?
XS_0814,zem,1,50,110,1,NA,NA,NA,NA,NA,NA,NA,do you like the zem?
XS_0814,zem,1,51,111,1,NA,NA,NA,NA,NA,NA,NA,do you like the zem?
XS_0814,ball,2,6,126,NA,NA,NA,NA,NA,NA,NA,NA,there's the ball.
XS_0814,ball,2,9,129,NA,NA,NA,NA,NA,NA,NA,NA,baba ball.
XS_0814,ball,2,11,131,NA,NA,NA,NA,NA,NA,NA,NA,baba ball.
XS_0814,ball,2,30,150,NA,NA,NA,NA,NA,NA,NA,NA,ball.
XS_0814,ball,2,41,161,1,NA,NA,NA,NA,NA,NA,NA,yeah that's the ball.
XS_0814,zem,2,44,164,1,NA,NA,NA,NA,NA,NA,NA,where'd the zem go?
XS_0814,ball,2,49,169,NA,NA,NA,NA,NA,NA,NA,NA,now you want the ball?
XS_0814,ball,3,0,180,1,NA,NA,NA,NA,NA,NA,NA,you like that ball.
XS_0814,zem,3,8,188,NA,NA,NA,NA,NA,NA,NA,NA,what happens if it goes next to the zem huh?
XS_0814,manu,3,17,197,NA,NA,NA,NA,NA,NA,NA,NA,how about a manu.
XS_0814,manu,3,18,198,NA,NA,NA,NA,NA,NA,NA,NA,manu manu and a car.
XS_0814,manu,3,19,199,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,car,3,20,200,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,manu,3,22,202,NA,NA,NA,NA,NA,NA,NA,NA,the manu?
XS_0814,manu,3,24,204,NA,NA,NA,NA,NA,NA,NA,1,that's a pretty cool manu.
XS_0814,manu,3,35,215,NA,NA,NA,NA,NA,NA,NA,1,but it's a manu.
XS_0814,manu,3,46,226,NA,NA,NA,NA,NA,NA,NA,1,the manu looks like [xxx].
XS_0814,manu,3,47,227,NA,NA,NA,NA,NA,NA,NA,1,tasty manu tasty manu.
XS_0814,manu,3,57,237,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,manu,4,0,240,NA,NA,NA,NA,NA,NA,NA,NA,manu for mommy?
XS_0814,manu,4,4,244,NA,NA,NA,NA,NA,NA,NA,NA,you're not gonna give your manu to mama?
XS_0814,manu,4,11,251,NA,NA,NA,NA,NA,NA,NA,NA,is that your new best friend the manu?
XS_0814,car,4,22,262,NA,NA,NA,NA,NA,NA,NA,NA,[xxx] car.
XS_0814,manu,4,26,266,NA,NA,NA,NA,NA,NA,NA,NA,not as cool as the manu.
XS_0814,car,4,33,273,NA,NA,NA,NA,NA,NA,NA,NA,not that you have any cars at home anyway but.
XS_0814,car,4,44,284,NA,NA,NA,NA,NA,NA,NA,NA,you like the red car now?
XS_0814,manu,4,46,286,NA,NA,NA,NA,NA,NA,NA,NA,and the manu.
XS_0814,manu,4,49,289,NA,NA,NA,NA,NA,NA,NA,NA,no the manu wins.
XS_0814,manu,4,50,290,NA,NA,NA,NA,NA,NA,NA,NA,manu wins oh wait no.
XS_0814,car,4,52,292,NA,NA,NA,NA,NA,NA,NA,NA,car.
XS_0814,manu,5,8,308,NA,NA,NA,NA,NA,NA,NA,NA,how does the manu work?
XS_0814,car,5,9,309,NA,NA,NA,NA,NA,NA,NA,NA,how does the car work for that matter?
XS_0814,car,5,24,324,NA,NA,NA,NA,NA,NA,NA,NA,you're not going for the car you're going for mama.
XS_0814,manu,5,30,330,NA,NA,NA,NA,NA,NA,NA,NA,to get a better grip on the manu.
XS_0814,manu,6,9,369,NA,NA,NA,NA,NA,NA,NA,NA,are you done playing with the manu and the car?
XS_0814,car,6,9,369,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,car,6,40,400,NA,NA,NA,NA,NA,NA,NA,NA,are you done with the car and the manu?
XS_0814,manu,6,41,401,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,car,6,49,409,NA,NA,NA,NA,NA,NA,NA,NA,tasty car.
XS_0814,car,6,52,412,NA,NA,NA,NA,NA,NA,NA,NA,that's the sound a car makes.
XS_0814,car,7,22,442,NA,NA,NA,NA,NA,NA,NA,NA,you like the car.
XS_0814,manu,7,32,452,NA,NA,NA,NA,NA,NA,1,NA,are you done with the manu and the car?
XS_0814,car,7,33,453,NA,NA,NA,NA,NA,NA,1,NA,
XS_0814,car,7,39,459,NA,NA,NA,NA,NA,NA,NA,NA,car car car.
XS_0814,car,7,40,460,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,manu,7,44,464,NA,NA,NA,NA,NA,NA,NA,NA,oh there's the manu.
XS_0814,manu,7,56,476,NA,NA,NA,NA,NA,NA,NA,NA,all the better to lick your manu with.
XS_0814,manu,8,0,480,NA,NA,NA,NA,NA,NA,NA,NA,all the better to lick the manu with.
XS_0814,manu,8,24,504,NA,NA,NA,NA,NA,NA,NA,NA,yeah but this is manu.
XS_0814,manu,8,41,521,NA,NA,NA,NA,NA,NA,NA,1,you just want the manu for its handle.
XS_0814,manu,9,1,541,NA,NA,NA,NA,NA,NA,NA,NA,the manu's more fun than the car huh?
XS_0814,car,9,2,542,NA,NA,NA,NA,NA,NA,NA,NA,
XS_0814,manu,9,4,544,NA,NA,NA,NA,NA,NA,NA,1,is the manu more fun than the car?
XS_0814,car,9,5,545,NA,NA,NA,NA,NA,NA,NA,1,
XS_0814,manu,9,16,556,NA,NA,NA,NA,NA,NA,NA,NA,I have a manu.
XS_0814,car,9,31,571,NA,NA,NA,NA,NA,NA,NA,NA,but the car is yellow oh I'm sorry.
XS_0814,manu,9,46,586,NA,NA,NA,NA,NA,NA,NA,NA,you love that manu don't you?
XS_0814,manu,9,50,590,NA,NA,NA,NA,NA,NA,NA,NA,do you love the manu?
XS_0814,manu,9,52,592,NA,NA,NA,NA,NA,NA,NA,NA,do you love the manu?
XS_0814,manu,9,54,594,NA,NA,NA,NA,NA,NA,NA,NA,do you love the manu?
